name,num_fights,wins,W_KO,W_SUB,W_DEC,losses,L_KO,L_SUB,L_DEC,average_head_hits_to_ko,average_head_hits_to_chin,average_takedowns_to_sub,average_takedowns_to_subed,average_takedowns,average_knockdowns,average_knocked_down,average_taken_down
Sean O'Malley,12,10,6,0,4,2,1,0,1,46.33,5.0,0,0,0.3,0.6,0.0,8.5
Merab Dvalishvili,13,11,1,0,10,2,1,0,1,63.0,25.0,0,0,7.73,0.09,0.5,2.5
Alexa Grasso,13,8,0,2,6,5,0,1,4,0,0,3.0,2.0,0.75,0.12,0.0,6.6
Valentina Shevchenko,17,13,4,2,7,4,0,1,3,29.75,0,28.5,0.0,4.38,0.08,0.25,3.0
Brian Ortega,12,8,3,4,1,4,2,0,2,37.33,131.0,3.0,0,1.5,0.62,0.5,3.0
Diego Lopes,6,5,2,1,2,1,0,0,1,16.0,0,2.0,0,0.4,0.6,0.0,5.0
Daniel Zellhuber,5,3,0,1,2,2,0,0,2,0,0,0.0,0,0.0,0.67,0.0,0.5
Esteban Ribovics,4,3,1,0,2,1,0,0,1,3.0,0,0,0,0.67,0.67,1.0,14.0
Ronaldo Rodriguez,2,2,0,1,1,0,0,0,0,0,0,1.0,0,0.5,0.0,0,0
Ode Osbourne,10,4,2,0,2,6,2,3,1,6.0,10.5,0,1.33,1.25,0.75,0.33,1.0
Irene Aldana,14,8,3,1,4,6,0,0,6,21.67,0,2.0,0,0.25,0.38,0.17,2.67
Norma Dumont,10,8,0,0,8,2,1,0,1,0,6.0,0,0,2.12,0.25,1.0,3.5
Manuel Torres,4,3,2,1,0,1,1,0,0,15.0,25.0,2.0,0,0.67,0.67,2.0,1.0
Ignacio Bahamondes,7,5,3,1,1,2,0,0,2,30.67,0,0.0,0,0.0,0.8,0.0,2.0
Yazmin Jauregui,5,3,1,0,2,2,1,1,0,54.0,17.0,0,0.0,0.0,0.67,1.5,0.0
Ketlen Souza,3,2,0,1,1,1,0,1,0,0,0,1.0,1.0,0.5,0.5,0.0,3.0
Edgar Chairez,3,1,0,1,0,2,0,0,2,0,0,0.0,0,0.0,1.0,0.0,3.5
Joshua Van,5,4,1,0,3,1,1,0,0,63.0,44.0,0,0,1.75,0.25,1.0,3.0
Raul Rosas Jr.,5,4,1,2,1,1,0,0,1,17.0,0,6.0,0,3.0,0.25,0.0,1.0
Aoriqileng,7,3,1,0,2,4,1,0,3,28.0,5.0,0,0,2.33,0.67,0.75,3.75
Gilbert Burns,23,15,3,5,7,8,3,0,5,19.67,40.67,8.2,0,2.73,0.27,1.0,2.38
Sean Brady,8,7,0,3,4,1,1,0,0,0,64.0,8.67,0,3.71,0.14,0.0,2.0
Jessica Andrade,28,17,6,3,8,11,4,4,3,35.17,25.0,13.33,1.5,2.35,0.41,0.36,1.91
Natalia Silva,6,6,2,0,4,0,0,0,0,21.0,0,0,0,0.33,0.33,0,0
Steve Garcia,8,6,6,0,0,2,1,0,1,19.83,6.0,0,0,0.67,1.0,2.5,1.5
Kyle Nelson,10,4,2,0,2,6,3,1,2,14.0,38.0,0,0.0,1.75,0.0,0.17,0.67
Matt Schnell,13,6,0,3,3,7,5,2,0,0,24.2,1.33,0.0,0.67,0.17,0.86,1.14
Cody Durden,11,6,1,1,4,5,1,3,1,21.0,31.0,30.0,0.67,5.0,0.17,0.6,0.8
Trevor Peek,4,1,1,0,0,3,0,0,3,38.0,0,0,0,2.0,2.0,0.0,7.0
Yanal Ashmouz,3,2,1,0,1,1,0,0,1,14.0,0,0,0,5.0,0.0,0.0,2.0
Rongzhu,1,0,0,0,0,1,1,0,0,0,36.0,0,0,0,0,0.0,0.0
Chris Padilla,2,2,1,1,0,0,0,0,0,36.0,0,3.0,0,1.5,0.0,0,0
Isaac Dulgarian,3,2,1,1,0,1,0,0,1,32.0,0,10.0,0,5.0,0.0,0.0,0.0
Brendon Marotte,2,0,0,0,0,2,1,1,0,0,14.0,0,2.0,0,0,0.5,1.0
Felipe dos Santos,3,1,0,0,1,2,0,0,2,0,0,0,0,0.0,0.0,0.5,6.0
Andre Lima,2,2,0,0,2,0,0,0,0,0,0,0,0,1.5,0.0,0,0
Yizha,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,2.0
Gabriel Santos,3,1,0,0,1,2,1,0,1,0,47.0,0,0,9.0,1.0,0.5,0.5
Jaqueline Amorim,4,3,1,2,0,1,0,0,1,76.0,0,2.0,0,1.33,0.0,0.0,3.0
Vanessa Demopoulos,8,5,0,1,4,3,0,1,2,0,0,3.0,1.0,0.6,0.2,0.33,2.33
Andre Petroski,9,7,1,2,4,2,2,0,0,36.0,10.5,12.5,0,3.57,0.14,0.5,1.0
Dylan Budka,2,0,0,0,0,2,1,0,1,0,21.0,0,0,0,0,0.0,1.5
Zygimantas Ramaska,1,0,0,0,0,1,0,1,0,0,0,0,4.0,0,0,0.0,4.0
Nathan Fletcher,1,1,0,1,0,0,0,0,0,0,0,4.0,0,4.0,0.0,0,0
Jared Cannonier,18,10,6,0,4,8,3,0,5,30.0,26.0,0,0,0.7,0.5,0.75,3.0
Caio Borralho,7,7,1,1,5,0,0,0,0,29.0,0,9.0,0,1.29,0.43,0,0
Angela Hill,26,12,2,1,9,14,0,2,12,58.5,0,19.0,1.0,1.58,0.25,0.14,2.21
Tabatha Ricci,8,6,0,1,5,2,1,0,1,0,68.0,21.0,0,3.5,0.0,0.5,1.0
Robert Valentin,1,0,0,0,0,1,1,0,0,0,41.0,0,0,0,0,0.0,1.0
Ryan Loder,1,1,1,0,0,0,0,0,0,41.0,0,0,0,1.0,0.0,0,0
Kaan Ofli,1,0,0,0,0,1,1,0,0,0,15.0,0,0,0,0,1.0,0.0
Mairon Santos,1,1,1,0,0,0,0,0,0,15.0,0,0,0,0.0,1.0,0,0
Neil Magny,33,22,6,2,14,11,3,5,3,53.33,31.33,29.5,1.2,2.68,0.09,0.82,4.27
Michael Morales,5,5,3,0,2,0,0,0,0,42.33,0,0,0,0.2,0.8,0,0
Edmen Shahbazyan,11,6,4,1,1,5,3,1,1,18.75,49.0,12.0,1.0,2.0,0.67,0.0,3.0
Gerald Meerschaert,21,12,1,11,0,9,4,1,4,30.0,18.5,2.27,1.0,2.08,0.25,0.44,2.11
Dennis Buzukja,4,1,1,0,0,3,1,0,2,44.0,8.0,0,0,0.0,1.0,0.67,2.0
Francis Marshall,4,2,1,0,1,2,1,0,1,20.0,32.0,0,0,2.0,1.0,0.0,0.5
Zachary Reese,1,1,0,0,1,0,0,0,0,0,0,0,0,5.0,0.0,0,0
Jose Daniel Medina,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,5.0
Viacheslav Borshchev,7,3,2,0,1,4,0,1,3,24.5,0,0,1.0,0.0,1.33,0.5,6.75
James Llontop,2,0,0,0,0,2,0,1,1,0,0,0,3.0,0,0,0.0,1.5
Jacqueline Cavalcanti,2,2,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0
Josiane Nunes,5,3,1,0,2,2,0,0,2,26.0,0,0,0,0.0,1.0,0.0,2.5
Wang Cong,1,1,1,0,0,0,0,0,0,4.0,0,0,0,0.0,1.0,0,0
Victoria Leonardo,5,1,0,0,1,4,4,0,0,0,23.25,0,0,2.0,0.0,0.5,0.5
Dricus Du Plessis,8,8,4,2,2,0,0,0,0,26.75,0,10.0,0,2.5,0.5,0,0
Israel Adesanya,17,13,5,0,8,4,1,1,2,22.6,42.0,0,4.0,0.08,1.0,0.25,5.75
Kai Kara-France,12,8,3,0,5,4,1,1,2,12.33,43.0,0,0.0,0.75,1.0,1.0,1.5
Steve Erceg,5,3,1,0,2,2,1,0,1,24.0,11.0,0,0,1.67,0.33,1.0,5.5
Mateusz Gamrot,10,7,3,1,3,3,0,0,3,14.33,0,43.0,0,6.14,0.14,1.67,0.33
Dan Hooker,22,14,7,2,5,8,3,1,4,16.71,42.0,5.5,1.0,0.79,0.64,0.25,2.5
Tai Tuivasa,16,8,7,0,1,8,3,3,2,16.29,35.67,0,2.33,0.0,1.0,0.75,1.38
Jairzinho Rozenstruik,14,9,8,0,1,5,2,1,2,24.5,7.5,0,1.0,0.0,0.78,0.2,2.2
Li Jingliang,18,11,8,0,3,7,1,2,4,22.25,44.0,0,0.5,1.36,0.91,1.0,2.43
Carlos Prates,3,3,3,0,0,0,0,0,0,17.33,0,0,0,0.0,1.33,0,0
Junior Tafa,3,0,0,0,0,3,1,1,1,0,19.0,0,2.0,0,0,0.33,1.67
Valter Walker,2,1,0,1,0,1,0,0,1,0,0,6.0,0,6.0,0.0,0.0,0.0
Josh Culibao,8,3,0,1,2,5,1,0,4,0,38.0,0.0,0,0.0,1.33,0.2,2.2
Ricardo Ramos,13,8,2,1,5,5,2,2,1,16.5,10.0,22.0,0.0,2.75,0.38,0.4,1.2
Casey O'Neill,7,5,2,1,2,2,0,1,1,45.0,0,8.0,1.0,1.6,0.0,0.0,3.0
Luana Santos,4,3,1,1,1,1,0,0,1,44.0,0,4.0,0,1.33,0.0,0.0,1.0
Jack Jenkins,4,3,1,0,2,1,1,0,0,44.0,14.0,0,0,1.67,0.67,0.0,5.0
Herbert Burns,6,2,1,1,0,4,4,0,0,2.0,33.5,8.0,0,4.0,0.5,1.0,0.5
Tom Nolan,3,2,1,0,1,1,1,0,0,14.0,19.0,0,0,0.0,0.0,2.0,2.0
Alex Reyes,3,0,0,0,0,3,2,0,1,0,18.5,0,0,0,0,0.67,0.0
Song Kenan,9,5,3,0,2,4,2,0,2,14.0,34.5,0,0,0.6,0.8,0.5,2.25
Ricky Glenn,11,4,1,0,3,7,2,0,5,9.0,11.5,0,0,1.5,0.75,0.43,2.14
Stewart Nicoll,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Jesus Aguilar,4,3,1,1,1,1,0,1,0,1.0,0,1.0,1.0,0.33,0.33,0.0,6.0
Marcin Tybura,20,12,4,1,7,8,4,1,3,22.0,19.0,21.0,1.0,1.75,0.08,0.62,1.0
Serghei Spivac,12,8,3,3,2,4,3,0,1,32.67,25.67,9.33,0,3.5,0.0,0.5,0.75
Damon Jackson,12,6,1,2,3,6,2,1,3,11.0,14.5,10.5,0.0,3.5,0.0,0.5,3.0
Chepe Mariscal,4,4,1,0,3,0,0,0,0,14.0,0,0,0,2.75,0.0,0,0
Danny Barlow,2,2,1,0,1,0,0,0,0,77.0,0,0,0,0.0,0.5,0,0
Nikolay Veretennikov,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Chris Gutierrez,13,9,3,0,6,4,0,1,3,15.33,0,0,2.0,0.33,0.56,0.25,3.75
Quang Le,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Yana Santos,3,1,0,0,1,2,0,0,2,0,0,0,0,0.0,1.0,0.0,2.5
Chelsea Chandler,4,2,1,0,1,2,0,0,2,34.0,0,0,0,1.5,0.0,0.5,2.0
Toshiomi Kazama,2,1,0,1,0,1,1,0,0,0,11.0,1.0,0,1.0,0.0,3.0,0.0
Charalampos Grigoriou,2,0,0,0,0,2,0,1,1,0,0,0,1.0,0,0,0.0,0.5
Karol Rosa,10,7,0,0,7,3,0,0,3,0,0,0,0,1.71,0.29,0.33,2.0
Pannie Kianzad,11,5,0,0,5,6,0,2,4,0,0,0,1.0,0.8,0.0,0.5,1.83
Jhonata Diniz,2,2,1,0,1,0,0,0,0,15.0,0,0,0,0.0,0.5,0,0
Karl Williams,4,3,0,0,3,1,0,0,1,0,0,0,0,6.0,0.33,0.0,0.0
Youssef Zalal,9,5,0,2,3,4,0,0,4,0,0,9.0,0,3.6,0.2,0.0,2.75
Jarno Errens,3,1,0,0,1,2,0,1,1,0,0,0,1.0,0.0,1.0,0.0,2.5
Stephanie Luciano,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0,0
Talita Alencar,2,1,0,0,1,1,0,0,1,0,0,0,0,2.0,0.0,1.0,0.0
Cory Sandhagen,14,10,5,1,4,4,0,1,3,38.2,0,16.0,0.0,1.6,0.4,0.25,4.75
Umar Nurmagomedov,6,6,1,2,3,0,0,0,0,20.0,0,9.5,0,3.17,0.17,0,0
Shara Magomedov,2,2,1,0,1,0,0,0,0,28.0,0,0,0,0.0,0.5,0,0
Michal Oleksiejczuk,13,6,5,0,1,7,0,5,2,15.2,0,0,2.4,1.0,1.17,0.0,2.29
Marlon Vera,24,15,7,4,4,9,0,0,9,30.14,0,2.75,0,0.73,0.8,0.11,2.67
Deiveson Figueiredo,17,13,4,4,5,4,1,1,2,18.25,37.0,5.75,2.0,1.77,0.92,0.25,5.75
Tony Ferguson,24,15,5,6,4,9,2,3,4,41.4,57.5,1.17,0.33,0.47,0.2,0.67,2.22
Michael Chiesa,19,12,0,7,5,7,1,5,1,0,17.0,5.57,0.2,3.25,0.08,0.0,1.86
Mackenzie Dern,14,9,0,4,5,5,1,0,4,0,27.0,2.75,0,1.22,0.22,1.2,1.4
Loopy Godinez,12,7,0,2,5,5,0,0,5,0,0,16.0,0,4.57,0.14,0.0,1.6
Joel Alvarez,8,6,3,3,0,2,1,0,1,36.67,31.0,0.0,0,0.0,0.17,0.0,4.0
Elves Brener,5,3,2,0,1,2,1,0,1,24.0,67.0,0,0,1.67,0.67,1.0,3.0
Azamat Murzakanov,4,4,3,0,1,0,0,0,0,33.33,0,0,0,0.5,1.0,0,0
Alonzo Menifield,14,8,4,2,2,6,3,0,3,15.5,17.67,2.5,0,0.62,0.62,0.67,1.5
Mohammad Yahya,1,0,0,0,0,1,1,0,0,0,21.0,0,0,0,0,1.0,0.0
Kaue Fernandes,2,1,1,0,0,1,0,0,1,21.0,0,0,0,1.0,1.0,0.0,3.0
Shamil Gaziev,3,2,1,0,1,1,1,0,0,35.0,78.0,0,0,1.5,0.0,0.0,0.0
Don'Tale Mayes,10,4,2,0,2,6,0,2,4,14.5,0,0,2.5,1.75,0.5,0.33,2.0
Guram Kutateladze,4,2,0,0,2,2,1,0,1,0,42.0,0,0,1.5,0.5,1.0,3.5
Jordan Vucenic,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0
Viktoriia Dudakova,2,1,1,0,0,1,0,0,1,1.0,0,0,0,4.0,0.0,0.0,0.0
Sam Hughes,9,4,1,0,3,5,1,0,4,33.0,27.0,0,0,1.75,0.0,0.2,3.4
Jai Herbert,8,3,1,0,2,5,2,1,2,21.0,16.0,0,5.0,1.0,1.33,0.4,2.2
Rolando Bedoya,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,1.0
Sedriques Dumas,4,2,0,0,2,2,1,1,0,0,11.0,0,2.0,1.5,0.0,0.5,3.5
Denis Tiuliulin,6,1,1,0,0,5,2,2,1,53.0,24.0,0,1.5,3.0,2.0,0.2,1.4
Leon Edwards,17,14,3,1,10,3,0,0,3,20.0,0,26.0,0,1.86,0.36,0.33,13.33
Belal Muhammad,18,15,2,1,12,3,1,0,2,59.5,5.0,43.0,0,2.87,0.0,2.0,1.67
Tom Aspinall,9,8,6,2,0,1,1,0,0,11.17,2.0,2.0,0,0.5,0.62,0.0,0.0
Curtis Blaydes,18,13,8,0,5,5,5,0,0,23.75,18.6,0,0,4.77,0.15,1.0,2.6
King Green,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Paddy Pimblett,6,6,1,3,2,0,0,0,0,29.0,0,1.0,0,0.5,0.33,0,0
Christian Leroy Duncan,4,2,2,0,0,2,0,0,2,41.5,0,0,0,0.5,0.5,0.0,2.5
Gregory Rodrigues,9,7,5,0,2,2,1,0,1,38.0,15.0,0,0,2.14,0.57,0.5,0.0
Arnold Allen,13,11,2,2,7,2,0,0,2,32.0,0,5.5,0,1.0,0.27,0.0,8.5
Giga Chikadze,9,7,3,0,4,2,0,0,2,15.33,0,0,0,0.29,0.86,0.5,3.5
Nathaniel Wood,10,8,0,3,5,2,1,0,1,0,31.0,4.33,0,1.62,0.38,1.0,3.5
Daniel Pineda,12,5,1,4,0,7,2,0,5,50.0,21.5,3.0,0,2.4,0.4,0.57,3.0
Molly McCann,13,7,2,1,4,6,0,3,3,36.0,0,17.0,1.33,2.43,0.29,0.0,3.33
Bruna Brasil,4,2,0,0,2,2,1,0,1,0,28.0,0,0,3.0,0.0,0.5,3.0
Jake Hadley,6,3,1,1,1,3,0,0,3,7.0,0,0.0,0,0.0,0.33,0.33,2.67
Caolan Loughran,3,1,0,0,1,2,0,0,2,0,0,0,0,6.0,0.0,0.0,0.0
Muhammad Mokaev,6,6,0,3,3,0,0,0,0,0,0,9.33,0,4.67,0.17,0,0
Manel Kape,7,4,2,0,2,3,0,0,3,26.5,0,0,0,0.75,1.25,0.0,2.33
Oban Elliott,2,2,0,0,2,0,0,0,0,0,0,0,0,2.0,0.0,0,0
Preston Parsons,5,2,0,0,2,3,1,0,2,0,36.0,0,0,7.5,0.0,0.0,0.67
Modestas Bukauskas,8,4,1,1,2,4,3,0,1,11.0,10.67,2.0,0,0.5,0.0,1.0,1.0
Marcin Prachnio,10,4,1,0,3,6,3,2,1,23.0,7.33,0,3.0,0.25,0.25,0.67,2.0
Sam Patterson,3,2,0,2,0,1,1,0,0,0,14.0,1.0,0,1.0,0.0,0.0,1.0
Kiefer Crosbie,2,0,0,0,0,2,0,2,0,0,0,0,1.0,0,0,0.0,1.0
Mick Parkin,4,4,1,0,3,0,0,0,0,29.0,0,0,0,0.75,0.25,0,0
Lukasz Brzeski,4,1,0,0,1,3,1,0,2,0,29.0,0,0,0.0,0.0,0.67,4.0
Shauna Bannon,2,1,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,4.0
Alice Ardelean,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Amanda Lemos,12,8,3,2,3,4,1,2,1,14.67,74.0,3.5,0.5,0.88,0.75,0.25,2.5
Virna Jandiroba,10,7,1,3,3,3,0,0,3,32.0,0,6.0,0,2.57,0.14,0.0,2.0
SeungWoo Choi,9,3,1,0,2,6,2,2,2,10.0,19.0,0,2.5,1.67,1.33,0.83,2.17
Kurt Holobaugh,7,2,0,1,1,5,1,1,3,0,76.0,5.0,0.0,2.5,0.5,0.2,3.2
Kaynan Kruschewsky,2,0,0,0,0,2,1,0,1,0,6.0,0,0,0,0,0.5,0.5
Bruno Silva,14,8,7,1,0,6,0,2,4,23.43,0,12.0,0.5,1.5,1.0,0.67,2.5
Dooho Choi,8,4,4,0,0,4,2,0,2,11.5,35.0,0,0,0.75,1.0,0.75,2.75
Bill Algeo,10,5,1,1,3,5,2,0,3,21.0,17.5,9.0,0,1.8,0.4,0.0,4.8
JeongYeong Lee,3,2,0,0,2,1,1,0,0,0,37.0,0,0,1.0,0.0,0.0,5.0
Hyder Amil,2,2,2,0,0,0,0,0,0,48.5,0,0,0,0.5,0.5,0,0
Brian Kelleher,17,8,2,3,3,9,2,5,2,36.5,40.5,5.0,1.0,1.88,0.38,0.33,1.78
Cody Gibson,7,2,1,1,0,5,0,1,4,2.0,0,8.0,2.0,4.0,1.0,0.2,1.4
Miranda Maverick,10,7,1,2,4,3,0,0,3,25.0,0,10.5,0,3.0,0.0,0.0,4.67
Dione Barbosa,2,1,0,0,1,1,0,0,1,0,0,0,0,3.0,0.0,0.0,3.0
Loik Radzhabov,4,2,1,0,1,2,1,0,1,33.0,24.0,0,0,7.5,0.5,1.5,4.0
Trey Ogden,5,3,0,0,3,2,0,0,2,0,0,0,0,4.0,0.0,0.0,0.0
Luana Carolina,9,6,1,0,5,3,1,1,1,41.0,52.0,0,0.0,0.5,0.17,0.33,4.0
Lucie Pudilova,11,3,1,0,2,8,0,1,7,29.0,0,0,0.0,2.33,0.67,0.0,1.12
Mohammed Usman,5,3,1,0,2,2,0,0,2,11.0,0,0,0,1.0,0.33,0.0,1.0
Thomas Petersen,2,1,0,0,1,1,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0
Rose Namajunas,16,11,2,3,6,5,1,1,3,9.5,17.0,8.33,5.0,2.27,0.45,0.0,4.4
Tracy Cortez,6,5,0,0,5,1,0,0,1,0,0,0,0,2.4,0.0,2.0,11.0
Santiago Ponzinibbio,18,11,6,0,5,7,3,0,4,28.0,23.67,0,0,0.73,0.91,0.71,1.57
Muslim Salikhov,11,7,3,0,4,4,2,1,1,16.33,9.5,0,3.0,1.29,0.43,0.5,2.0
Drew Dober,23,13,9,1,3,10,2,4,4,20.11,31.5,9.0,1.25,0.69,0.69,0.2,2.8
Jean Silva,3,3,3,0,0,0,0,0,0,29.0,0,0,0,0.33,1.0,0,0
Gabriel Bonfim,4,3,0,2,1,1,1,0,0,0,41.0,2.5,0,1.67,0.0,1.0,4.0
Ange Loosa,4,2,0,0,2,2,0,0,2,0,0,0,0,6.0,0.0,0.0,1.0
Julian Erosa,15,8,1,4,3,7,6,0,1,11.0,20.83,3.5,0,1.75,0.12,1.14,1.71
Christian Rodriguez,6,4,0,1,3,2,0,1,1,0,0,6.0,1.0,1.5,0.0,0.0,9.5
Abdul Razak Alhassan,12,6,6,0,0,6,1,1,4,11.67,2.0,0,3.0,0.83,1.33,0.17,4.5
Cody Brundage,8,3,2,1,0,5,1,2,2,8.5,13.0,9.0,2.0,3.0,0.67,0.0,2.0
Charles Johnson,9,5,2,0,3,4,0,0,4,32.0,0,0,0,0.6,0.4,0.25,8.5
Jasmine Jasudavicius,7,5,0,1,4,2,0,0,2,0,0,15.0,0,3.0,0.2,0.0,2.0
Fatima Kline,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,4.0
Montel Jackson,10,8,3,1,4,2,0,0,2,7.33,0,22.0,0,2.75,1.38,0.0,9.5
Da'Mon Blackshear,6,2,1,1,0,4,1,0,3,42.0,4.0,9.0,0,4.5,0.0,0.25,1.75
Mariya Agapova,6,2,0,2,0,4,1,3,0,0,18.0,1.0,2.0,1.0,1.0,0.0,2.0
Josh Fremd,6,2,0,1,1,4,1,1,2,0,23.0,3.0,3.0,1.5,0.0,0.25,4.0
Evan Elder,4,2,0,1,1,2,1,0,1,0,38.0,2.0,0,1.0,1.0,0.5,3.0
Darrius Flowers,3,0,0,0,0,3,0,2,1,0,0,0,0.0,0,0,0.0,1.33
Alex Pereira,9,8,6,0,2,1,1,0,0,17.5,18.0,0,0,0.12,0.75,1.0,9.0
Jiri Prochazka,6,4,3,1,0,2,2,0,0,48.67,21.0,3.0,0,0.75,0.5,1.5,3.0
Dan Ige,17,10,4,1,5,7,0,0,7,11.75,0,11.0,0,1.1,0.6,0.29,3.29
Anthony Smith,22,12,6,5,1,10,4,1,5,24.33,52.25,1.4,1.0,0.58,0.58,0.5,2.4
Roman Dolidze,10,7,4,0,3,3,0,0,3,13.75,0,0,0,1.43,0.57,0.33,2.67
Mayra Bueno Silva,11,6,0,5,1,5,1,0,4,0,27.0,1.0,0,0.83,0.0,0.0,2.6
Macy Chiasson,11,8,3,2,3,3,1,1,1,26.67,24.0,8.5,0.0,2.12,0.25,0.33,2.0
Ian Machado Garry,2,2,0,0,2,0,0,0,0,0,0,0,0,1.0,0.0,0,0
Michael Page,2,1,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,4.0
Joe Pyfer,5,4,3,1,0,1,0,0,1,7.33,0,3.0,0,0.75,0.5,0.0,1.0
Marc-Andre Barriault,12,5,2,1,2,7,2,1,4,108.5,6.5,2.0,8.0,0.4,0.6,0.29,3.0
Cub Swanson,24,14,6,0,8,10,2,5,3,25.33,24.5,0,2.0,1.0,0.64,0.4,2.8
Andre Fili,22,12,4,0,8,10,3,2,5,22.25,9.0,0,0.0,2.92,0.5,0.6,2.1
Charles Jourdain,14,6,2,2,2,8,1,1,6,53.0,26.0,2.0,2.0,0.67,1.0,0.5,3.0
Payton Talbott,3,3,2,1,0,0,0,0,0,32.0,0,0.0,0,0.0,0.67,0,0
Yanis Ghemmouri,2,0,0,0,0,2,2,0,0,0,11.0,0,0,0,0,0.5,0.0
Michelle Waterson-Gomez,4,0,0,0,0,4,1,1,2,0,47.0,0,0.0,0,0,0.0,0.75
Gillian Robertson,17,11,2,7,2,6,1,1,4,22.0,31.0,4.0,0.0,2.55,0.0,0.0,1.67
Andrei Arlovski,41,23,9,2,12,18,8,3,7,15.89,12.0,4.5,0.67,0.39,0.43,0.56,0.89
Martin Buday,6,5,0,1,4,1,1,0,0,0,35.0,1.0,0,0.2,0.2,0.0,0.0
Rei Tsuruya,1,1,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0,0
Carlos Hernandez,5,2,0,0,2,3,1,1,1,0,30.0,0,2.0,2.5,0.0,0.33,2.67
Ricky Simon,13,8,2,2,4,5,2,0,3,19.0,32.0,24.5,0,6.12,0.5,0.8,2.0
Vinicius Oliveira,2,2,1,0,1,0,0,0,0,39.0,0,0,0,1.5,0.5,0,0
Robert Whittaker,22,17,6,0,11,5,3,0,2,31.0,31.0,0,0,0.94,0.65,1.6,2.4
Ikram Aliskerov,2,1,1,0,0,1,1,0,0,13.0,12.0,0,0,0.0,1.0,1.0,0.0
Sergei Pavlovich,9,6,6,0,0,3,2,0,1,21.0,10.0,0,0,0.0,1.17,0.33,0.33
Alexander Volkov,16,12,6,1,5,4,1,1,2,36.33,31.0,7.0,2.0,0.58,0.33,0.5,5.25
Kelvin Gastelum,22,13,3,2,8,9,0,3,6,32.33,0,11.5,4.0,1.77,0.69,0.67,3.78
Daniel Rodriguez,11,7,2,1,4,4,1,1,2,23.0,19.0,1.0,5.0,0.14,0.57,0.5,4.0
Antonio Trocoli,1,0,0,0,0,1,1,0,0,0,28.0,0,0,0,0,1.0,0.0
Johnny Walker,13,7,5,1,1,6,4,0,2,10.6,14.0,2.0,0,0.29,0.57,1.17,1.33
Volkan Oezdemir,14,8,4,1,3,6,2,1,3,20.25,29.5,5.0,1.0,0.62,0.75,0.33,2.17
Nasrat Haqparast,13,9,2,0,7,4,1,0,3,16.0,12.0,0,0,0.33,0.78,0.25,1.75
Jared Gordon,14,8,2,0,6,6,3,1,2,40.5,27.67,0,7.0,2.5,0.12,0.33,2.5
Muhammad Naimov,3,2,2,0,0,1,0,1,0,9.0,0,0,1.0,1.0,0.5,0.0,4.0
Felipe Lima,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Rinat Fakhretdinov,5,4,0,1,3,1,0,0,1,0,0,18.0,0,4.5,0.75,0.0,0.0
Nicolas Dalby,12,7,1,0,6,5,0,0,5,41.0,0,0,0,1.71,0.14,0.8,4.6
Kyung Ho Kang,13,8,0,4,4,5,0,0,5,0,0,5.75,0,2.88,0.5,0.2,2.6
Muin Gafurov,2,1,0,0,1,1,0,0,1,0,0,0,0,1.0,0.0,1.0,6.0
Magomed Gadzhiyasulov,1,1,0,0,1,0,0,0,0,0,0,0,0,5.0,0.0,0,0
Brendson Ribeiro,2,0,0,0,0,2,1,0,1,0,13.0,0,0,0,0,0.5,2.5
Xiao Long,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,2.0
ChangHo Lee,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0
Alex Perez,12,7,3,2,2,5,2,2,1,30.0,22.5,6.0,0.5,1.71,0.57,0.0,1.4
Tatsuro Taira,6,6,2,2,2,0,0,0,0,27.5,0,4.5,0,1.5,0.33,0,0
Douglas Silva de Andrade,13,7,2,1,4,6,1,1,4,31.5,49.0,6.0,2.0,0.86,0.86,0.33,2.33
Miles Johns,9,7,2,0,5,2,1,1,0,46.5,18.0,0,0.0,0.86,0.29,1.0,2.0
Timmy Cuamba,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0.5
Lucas Almeida,4,2,1,0,1,2,1,1,0,32.0,16.0,0,2.0,0.0,1.5,1.0,2.0
